"","timestamp","sent_avg","sent_var","eng_avg","eng_var","engsent_avg","engsent_var","r","logr","d_vol","d_logvol"
"1",2021-01-28,0.141705169628433,0.432879760312658,2.23739574723147,61.9064549514536,0.263110459390327,44.7477517459288,-0.0271557172936958,-0.0275312479321989,-0.302710292668717,-0.360554305610874
"2",2021-01-29,0.157736447039199,0.492488413614739,7.20615810397956,192.722560753695,1.36239109024749,155.540950319802,-0.0168621013440848,-0.017005885198787,-0.123816765615015,-0.132180038246733
"3",2021-02-01,0.34218925831202,0.480842302550987,28.3937422146945,274.302525363644,9.16479283632539,578.47692470071,0.0242065570223808,0.0239182221175798,-0.165495049863446,-0.180916604038579
"4",2021-02-02,0.308323583180987,0.452010776054537,15.483751591085,173.752206546848,4.52853107488714,228.219274757201,0.00115094278392092,0.00115028095704289,-0.0609326240881412,-0.0628680495132052
"5",2021-02-03,0.346720073664825,0.463403526662725,21.1240514627047,232.852703328275,8.14143796183318,376.155594101479,0.00090666624683311,0.000906255473262474,-0.268945360483383,-0.313267075764959
"6",2021-02-04,0.391007421150278,0.446410970205047,13.7865451156805,172.01260711748,5.36492691966155,170.672860271226,0.00301076052403748,0.00300623726127068,-0.0250698747902571,-0.0253894770039985
"7",2021-02-05,0.354573839662447,0.448247828755252,8.54525805710676,58.7033670736596,2.99354156177289,68.7054191576933,0.000955794428790124,0.000955337948139691,0.0602654112068033,0.0585192647130959
"8",2021-02-08,0.296009900990099,0.58582786990099,25.4985038068668,328.715522482766,8.52073138419626,532.324446230898,0.0132805590682448,0.0131931455269536,-0.172489573409429,-0.189333571700849
"9",2021-02-09,0.407344262295082,0.564458229508197,30.8509586057358,464.753165207092,12.2128994006529,723.698375174648,0.00032637694532367,0.00032632369595438,0.035710589989842,0.035087751519234
"10",2021-02-10,0.336139240506329,0.640836326517364,30.3536906357424,550.739801991403,12.3239913086874,1025.66261418136,-0.00475754257157757,-0.00476889570021202,0.264238423679702,0.234469904265835
"11",2021-02-11,0.483283018867925,0.54878320682148,32.9251227914881,383.524758895472,17.7783659614601,867.083814181224,-0.00752018695881107,-0.00754860613274143,-0.208096959700803,-0.233316318526775
"12",2021-02-12,0.522542372881356,0.522843218001169,29.9304571274372,259.897481235735,13.0013842530724,679.459311450862,-0.00172288347007754,-0.00172436934070316,-0.28631319647948,-0.337311063409325
"13",2021-02-16,0.530205882352941,0.553188107843137,29.1967295743209,398.797731778491,14.4655436756787,697.61497301936,-0.00910306909097591,-0.0091447551982692,0.0261060208549879,0.0257710755766255
"14",2021-02-17,0.422113636363636,0.373802335623679,25.3864120468876,189.217356420673,11.8561691315969,311.806201148535,-0.00949786306403,-0.00954325541428877,0.0177125978402983,0.0175575578757923
"15",2021-02-18,0.39044262295082,0.441839650819672,26.3299277744482,465.236057211667,9.81420351867339,365.355840562728,-0.0169023852603609,-0.0170468608764282,0.0950684374889732,0.090816861305351
"16",2021-02-19,0.340068965517241,0.433605576583801,25.6665948347241,192.281123749427,8.68321688292623,407.711919621093,0.00189002599274679,0.00188824214095068,-0.0841503605577324,-0.0879030768624355
"17",2021-02-22,0.3398125,0.53944777016129,28.348508494954,345.269425713974,6.70170270941952,574.388730740595,-0.0348932190789738,-0.0355165299606595,0.366063205094011,0.31193303027876
"18",2021-02-23,0.480535211267606,0.267595652313883,23.7057733119588,366.742394571839,11.1324277214715,215.850629685161,-0.00569567265629833,-0.00571195485461758,0.453985380305147,0.374308324250012
"19",2021-02-24,0.452122448979592,0.354416859693878,24.4264954608953,343.046946219588,11.4592042922578,338.997764500763,0.0290475845555498,0.0286336992769326,-0.0386276286449392,-0.0393934618642175
"20",2021-02-25,0.500325842696629,0.28064776762002,24.2582347027271,448.784717705761,10.6951502484211,370.197945974965,-0.0463322920855334,-0.0474399827645214,0.221903207107738,0.200409649026099
"21",2021-02-26,0.457756944444444,0.396598786664724,24.0428958460622,356.240729883863,9.93947378056795,381.361428033794,-0.00218271929742608,-0.00218510490122622,-0.288455892742842,-0.340317871445108
"22",2021-03-01,0.717934426229508,0.170822228961749,24.1238572622712,373.036075458159,16.0557078564166,228.622986505605,0.0434829855490346,0.0425641422263702,-0.241211449705222,-0.276032130261825
"23",2021-03-02,0.506791304347826,0.232281359572845,21.8230612870401,278.946466945623,9.8165389840411,291.055723942739,-0.0251870329273476,-0.0255096550291908,-0.0723610228032614,-0.0751126550821508
"24",2021-03-03,0.518857740585774,0.255423147744453,18.8813226499804,235.772840932055,10.3020114547236,226.697498688399,-0.0277348250813934,-0.028126698026319,-0.0201273078070107,-0.0203326216815461
"25",2021-03-04,0.569703910614525,0.27019467026552,19.7920251911835,205.526556427037,11.6593457951148,229.016628442367,-0.0245062134180318,-0.0248114884093043,0.591968867119067,0.464971531401241
"26",2021-03-05,0.578807692307692,0.28136972242099,19.7960487679951,299.877481263543,10.5139937272102,314.517258905436,-0.00351786404619625,-0.00352406627993558,0.0545381680015116,0.0531029156363376
"27",2021-03-08,0.62734,0.334789575918367,30.7136635380649,341.746756497806,19.9751573393588,576.842306788823,-0.0161306374011777,-0.0162621523300459,-0.161492658269075,-0.176131941966001
"28",2021-03-09,0.533098901098901,0.236550112332112,23.390455398397,375.762329124678,13.1761210122938,366.259747419082,0.0708156561931772,0.0684206535818074,0.0210408286213057,0.0208225272383391
"29",2021-03-10,0.599864705882353,0.221218602888966,17.7212574023132,232.404029509391,10.547273924179,205.74272538804,-0.00617100701711282,-0.00619012637864136,0.120642161749014,0.11390187970418
