"","timestamp","score","comms_num","sentiment","r","logr","Dvol","logDvol"
"1",2021-01-28,0,47,-0.63,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"2",2021-01-28,29,74,0.318,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"3",2021-01-28,71,156,0.223,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"4",2021-01-28,317,53,0.947,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"5",2021-01-28,405,178,-0.991,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"6",2021-01-28,200,161,0.361,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"7",2021-01-28,222,70,0.895,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"8",2021-01-28,562,97,0.421,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"9",2021-01-28,0,16,0.963,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"10",2021-01-28,382,61,0.993,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"11",2021-01-28,240,49,0.361,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"12",2021-01-28,2739,646,0,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"13",2021-01-28,1172,323,0.983,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"14",2021-01-28,324,117,0.499,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"15",2021-01-28,606,376,0.433,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"16",2021-01-28,261,43,0.494,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"17",2021-01-28,223,146,0.648,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"18",2021-01-28,304,131,0,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"19",2021-01-28,365,60,0.812,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"20",2021-01-28,560,215,0.33,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"21",2021-01-28,215,90,0.488,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"22",2021-01-28,331,94,0.285,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"23",2021-01-28,207,51,0.359,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"24",2021-01-28,51,58,-0.586,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"25",2021-01-28,235,120,-0.978,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"26",2021-01-28,483,117,-0.967,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"27",2021-01-28,462,48,0,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"28",2021-01-28,212,57,-0.967,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"29",2021-01-28,12382,1136,-0.756,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"30",2021-01-28,739,270,0.402,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"31",2021-01-28,401,280,-0.684,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
"32",2021-01-28,494,92,-0.607,-0.0358907119781301,-0.0661208984927158,-0.0610639600525998,-0.148510940319979
